id,name,category,price_usd,image_url
1,Pokémon Charizard Holo First Edition (Shadowless style),Trading Cards,932,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
2,Pokémon Pikachu Illustrator Replica Card,Trading Cards,224,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
3,Pokémon Blastoise Holo 1st Edition,Trading Cards,2273,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
4,Pokémon Venusaur Holo 1st Edition,Trading Cards,2026,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
5,Pokémon Mewtwo Holo Rare,Trading Cards,1848,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
6,Pokémon Lugia Holo Neo Genesis,Trading Cards,1163,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
7,Pokémon Rayquaza Gold Star Holo,Trading Cards,859,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
8,Pokémon Shiny Gyarados Promo Card,Trading Cards,4487,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
9,Pokémon Eevee VMAX Rainbow Rare,Trading Cards,732,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
10,Pokémon Umbreon Gold Star Holo,Trading Cards,4857,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
11,Pokémon Sylveon GX Full Art,Trading Cards,3476,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
12,Pokémon Charizard VMAX Rainbow Rare,Trading Cards,280,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
13,Pokémon Mew VMAX Secret Rare,Trading Cards,264,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
14,Pokémon Arceus VSTAR Holo,Trading Cards,787,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
15,Pokémon Zacian V Full Art,Trading Cards,1811,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
16,Pokémon Eternatus VMAX Rainbow Rare,Trading Cards,1925,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
17,Pokémon Gardevoir EX Full Art,Trading Cards,4159,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
18,Pokémon Lucario GX Holo,Trading Cards,4951,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
19,Pokémon Greninja BREAK Holo,Trading Cards,237,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
20,Pokémon Darkrai Holo Promo,Trading Cards,4617,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
21,Pokémon Snorlax V Full Art,Trading Cards,1648,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
22,Pokémon Celebi Holo Vintage Print,Trading Cards,4484,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
23,Pokémon Trainer Gallery Box (sealed),Trading Cards,3456,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
24,Pokémon Elite Trainer Box (limited),Trading Cards,1825,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
25,Pokémon Booster Box (sealed),Trading Cards,3699,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
26,Pokémon Booster Pack (vintage),Trading Cards,4847,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
27,Pokémon Promo Card Lot (10 assorted),Trading Cards,2298,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
28,Pokémon Binder with 50 Holos,Trading Cards,73,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
29,Pokémon Complete Set (Base Set reprint),Trading Cards,1327,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
30,Pokémon Rare Card Mystery Pack (5 cards),Trading Cards,3482,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
31,Magic The Gathering Black Lotus Replica (art),Watches & Jewelry,6074,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
32,Magic The Gathering Mox Sapphire Replica,Watches & Jewelry,5052,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
33,Magic The Gathering Alpha Rare Pack (sealed),Watches & Jewelry,3047,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
34,Magic The Gathering Vintage Power Nine Card (reprint),Watches & Jewelry,4027,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
35,Magic The Gathering Modern Masters Box (sealed),Watches & Jewelry,13009,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
36,Magic The Gathering Commander Deck (foil),Watches & Jewelry,6014,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
37,Magic The Gathering Signed Artist Card,Watches & Jewelry,2174,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
38,Magic The Gathering Foil Mythic Rare Lot (5),Watches & Jewelry,2019,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
39,Magic The Gathering Collector Booster Box,Watches & Jewelry,6724,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
40,Magic The Gathering Promo Card Bundle,Watches & Jewelry,2084,https://kimi-web-img.moonshot.cn/img/watchesoff5th.com/77825cd9e8fa2d08d622d98419b1b89c714c7d28.jpg
41,Yu‑Gi‑Oh! Blue‑Eyes White Dragon 1st Edition,Miscellaneous,233,https://kimi-web-img.moonshot.cn/img/store.storeimages.cdn-apple.com/db745056495d8792b2793c92fadab84bd4684e43
42,Yu‑Gi‑Oh! Red‑Eyes Black Dragon Holo,Trading Cards,2837,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
43,Yu‑Gi‑Oh! Sealed Starter Deck (vintage),Miscellaneous,359,https://kimi-web-img.moonshot.cn/img/store.storeimages.cdn-apple.com/db745056495d8792b2793c92fadab84bd4684e43
44,Sports Trading Card Pack (vintage baseball),Trading Cards,2186,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
45,Sports Trading Card Pack (vintage basketball),Trading Cards,375,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
46,Michael Jordan Rookie Card Replica,Trading Cards,3783,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
47,LeBron James Signed Card (authenticated),Art & Collectibles,2246,https://kimi-web-img.moonshot.cn/img/mir-s3-cdn-cf.behance.net/6f7e70b6cbfae2961ef8c86b03c2675acb5a387a.jpg
48,Tom Brady Rookie Card Reprint,Trading Cards,1042,https://kimi-web-img.moonshot.cn/img/i.ebayimg.com/00fb36aa0e08ef534247d9bc53e811e885f02a03.jpg
